name,image_url,description
노오란 과즙미 팡팡,https://t1.kakaocdn.net/friends/prod/main_tab/banner/banner_20200429103253_web_kr.jpg?type=thumb&opt=R1080x210@2xa,레몬테라스 테마 런칭
볼빵빵 죠르디 신상이죨,https://t1.kakaocdn.net/friends/prod/main_tab/banner/banner_20200423182908_web_kr.jpg?type=thumb&opt=R1080x210@2xa,에어팟/프로/버즈 케이스 출시
최애 캐릭터에 에어팟 쏘옥,https://t1.kakaocdn.net/friends/prod/main_tab/banner/banner_20200422191244_web_kr.jpg?type=thumb&opt=R1080x210@2xa,에어팟케이스 신상 런칭
촉감천재 등판,https://t1.kakaocdn.net/friends/prod/main_tab/banner/banner_20200417101854_web_kr.jpg?type=thumb&opt=R1080x210@2xa,대왕말랑 페이스 쿠션
달콤한 꿈속에서 펼쳐지는,https://t1.kakaocdn.net/friends/prod/main_tab/banner/banner_20200406145622_web_kr.jpg?type=thumb&opt=R1080x210@2xa,사랑스러운 베이비드리밍 이야기
슬기로운 데스크생활,https://t1.kakaocdn.net/friends/prod/main_tab/banner/banner_20200403171648_web_kr.jpg?type=thumb&opt=R1080x210@2xa,고속무선충전 패드
일상에서 지키는 개인 위생,https://t1.kakaocdn.net/friends/prod/main_tab/banner/banner_20200326184944_web_kr.jpg?type=thumb&opt=R1080x210@2xa,대용량 &  휴대용 소독제
월화수목금토일 해피하게,https://t1.kakaocdn.net/friends/prod/main_tab/banner/banner_20200218191054_web_kr.jpg?type=thumb&opt=R1080x210@2xa,신학기 문구 테마 해피위크
메가급귀여움에 포옥,https://t1.kakaocdn.net/friends/prod/main_tab/banner/banner_20200122101812_web_kr.jpg?type=thumb&opt=R1080x210@2xa,리틀라이언 메가바디필로우
우리 붕붕이를 위한 모든 것,https://t1.kakaocdn.net/friends/prod/main_tab/banner/banner_20200424113309_web_kr.jpg?type=thumb&opt=R1080x210@2xa,주차번호판부터 방향제까지
